coeff-Mel25-5_wso.dat
0  0.0  -2  3  2
136  1
15  0  0.0
n  m  g  h  nOrder  CR  dLon
  0    0   0.000000e+00   0.000000e+00
  1    0   4.575614e+00  -5.541412e-07
  1    1  -9.560431e+00   5.299421e-01
  2    0  -1.049378e+00  -7.153932e-07
  2    1  -5.992431e+00  -1.737543e-01
  2    2  -2.115839e+00  -5.251172e+00
  3    0  -1.863640e+00  -8.464647e-07
  3    1  -2.063822e+00  -3.877364e-01
  3    2  -1.297557e+00  -3.225928e+00
  3    3  -1.461725e+00   4.143673e+00
  4    0  -7.329622e-01  -9.598007e-07
  4    1  -4.344767e-01  -1.227136e-01
  4    2  -3.458336e-01  -9.231245e-01
  4    3  -5.737964e-01   2.537320e+00
  4    4   1.019152e+00  -1.731807e+00
  5    0  -4.161097e-02  -1.061100e-06
  5    1  -1.531525e-01   2.540008e-02
  5    2  -6.579840e-02  -2.196981e-01
  5    3   5.468387e-02   5.430981e-01
  5    4   3.006027e-01  -6.927303e-01
  5    5  -1.166347e-02   6.891095e-01
  6    0   1.714436e-02  -1.153537e-06
  6    1  -5.605295e-02   1.672809e-03
  6    2  -3.158383e-02  -7.667665e-02
  6    3   5.275360e-02  -1.086496e-02
  6    4   1.988884e-02   4.388586e-03
  6    5   3.688987e-02   1.133457e-01
  6    6  -1.094178e-01   5.969525e-02
  7    0  -1.243665e-02  -1.239097e-06
  7    1  -6.852626e-03  -6.121048e-03
  7    2  -9.203454e-05   1.271742e-02
  7    3   3.786998e-03   5.109529e-03
  7    4   4.106035e-02   1.743364e-02
  7    5   4.415979e-03  -1.648225e-02
  7    6  -2.411269e-03   1.711871e-02
  7    7  -2.766198e-02  -1.086805e-02
  8    0  -2.995097e-03  -1.319120e-06
  8    1  -4.879434e-03  -1.212673e-04
  8    2   2.282553e-03   5.551244e-03
  8    3   7.173819e-03  -7.961234e-03
  8    4   7.286102e-03  -9.344463e-03
  8    5  -9.775973e-03   3.374382e-02
  8    6  -1.130209e-02  -1.137804e-02
  8    7  -7.947927e-03  -1.679615e-03
  8    8   1.060957e-03  -1.803691e-03
  9    0  -1.754502e-03  -1.394558e-06
  9    1   1.037760e-03  -2.852992e-03
  9    2  -7.456488e-04  -1.550883e-03
  9    3  -3.454487e-03  -6.013672e-03
  9    4   4.460311e-03   1.551435e-03
  9    5   6.357440e-04   3.692309e-03
  9    6  -7.448647e-03  -2.780779e-04
  9    7  -1.587327e-03  -5.494562e-03
  9    8  -1.877083e-03   9.928130e-04
  9    9  -1.198757e-03  -2.188823e-03
 10    0  -1.761407e-03  -1.466120e-06
 10    1   1.647979e-03  -5.545902e-04
 10    2   8.280052e-04   2.118495e-03
 10    3  -2.229370e-03   2.683144e-03
 10    4   4.780277e-03  -5.276682e-03
 10    5   3.356022e-04  -8.492375e-04
 10    6   5.296782e-03   4.003155e-03
 10    7   3.998391e-03  -8.373125e-04
 10    8  -2.952327e-03   1.058845e-03
 10    9   1.951696e-03  -5.399584e-04
 10   10  -7.299107e-05  -2.195528e-04
 11    0  -2.692538e-04  -1.534348e-06
 11    1   6.077812e-05   3.807538e-04
 11    2  -7.182937e-04  -3.427391e-03
 11    3   1.145408e-04  -1.190069e-04
 11    4  -6.223648e-03  -6.830016e-04
 11    5   2.609653e-04   1.212533e-04
 11    6   4.472190e-04  -1.569278e-05
 11    7  -8.034908e-04   2.401749e-03
 11    8   2.671147e-03  -2.940294e-03
 11    9   2.697582e-03   4.126260e-03
 11   10  -1.061332e-03   1.664633e-04
 11   11  -8.091189e-05   1.385315e-04
 12    0  -6.925104e-04  -1.599668e-06
 12    1   5.935376e-04  -1.157466e-04
 12    2  -2.295536e-04  -9.740177e-04
 12    3  -7.988735e-04   1.064167e-03
 12    4  -1.118596e-03   1.106510e-03
 12    5   1.092737e-03  -4.364383e-03
 12    6   7.963677e-04   3.842081e-04
 12    7  -1.522557e-03   8.158465e-05
 12    8   2.192152e-03  -1.567289e-03
 12    9  -2.967430e-03   1.621741e-04
 12   10   7.579242e-04   2.033935e-05
 12   11  -1.109375e-03   1.384088e-05
 12   12   1.560827e-04  -1.627428e-04
 13    0  -5.869740e-04  -1.662424e-06
 13    1  -2.839749e-04   5.257393e-04
 13    2   2.006281e-04  -4.139222e-05
 13    3   9.064282e-04   5.665504e-04
 13    4  -1.076755e-03  -3.600334e-05
 13    5  -2.834498e-04   5.042908e-04
 13    6  -3.895663e-05  -3.389087e-05
 13    7   9.936064e-05  -6.581869e-05
 13    8  -1.406020e-03   1.814431e-03
 13    9  -2.321423e-03  -3.396033e-03
 13   10   1.269042e-03  -1.925937e-04
 13   11   4.147774e-04  -7.460820e-04
 13   12   2.057371e-04   1.335354e-04
 13   13  -2.399942e-05   2.343387e-05
 14    0  -6.297459e-04  -1.722895e-06
 14    1  -1.320547e-04   5.233668e-05
 14    2   2.304696e-05  -5.030383e-04
 14    3   3.606336e-04  -3.999827e-04
 14    4  -1.012636e-03   1.004435e-03
 14    5  -8.706473e-05   2.952209e-04
 14    6  -1.296966e-03  -6.043295e-04
 14    7  -7.415901e-04  -4.540714e-06
 14    8  -3.693577e-04   3.316267e-04
 14    9   1.703922e-03   8.181719e-05
 14   10  -1.092721e-03   2.113442e-04
 14   11   2.050202e-03  -4.901545e-05
 14   12  -7.132409e-04   6.108589e-04
 14   13   2.617115e-04   1.662949e-05
 14   14  -3.035578e-05   3.283325e-05
 15    0  -8.348720e-04  -1.781315e-06
 15    1   8.964344e-05  -6.335936e-05
 15    2   4.756139e-04   9.381927e-04
 15    3   9.677951e-05   5.832777e-05
