General poloidal plus toroidal field
135 3 -3
 4  3 -1.360241e+00  4.607740e+00
 4  4 -1.425678e+00  2.756781e+00
 5  0 -1.820860e-02 -1.134135e-06
 5  1 -1.996751e-01  1.296084e-01
 5  2  5.010829e-02  2.099515e-01
 5  3  1.601027e-01  1.042318e+00
 5  4 -2.526643e-01  1.163511e+00
 5  5 -2.683447e-02  1.030528e+00
 6  0 -4.429016e-02 -1.134135e-06
 6  1 -1.151025e-01  8.419227e-03
 6  2  5.205329e-02  1.177288e-01
 6  3  1.246036e-01 -1.083905e-01
 6  4  1.993789e-02 -1.822123e-01
 6  5  1.011639e-01 -1.862620e-03
 6  6  1.290348e-01 -1.023640e-01
 7  0  1.843560e-02 -1.134135e-06
 7  1 -1.022200e-02 -2.069746e-02
 7  2 -1.534530e-02 -7.772361e-02
 7  3 -2.916232e-04  7.295190e-03
 7  4 -1.619568e-01 -5.035010e-02
 7  5 -4.785864e-03 -5.555144e-02
 7  6 -3.145607e-02 -1.630921e-02
 7  7 -3.006313e-02 -3.223684e-03
 8  0  2.668747e-03 -1.134135e-06
 8  1 -1.537265e-02  1.577457e-03
 8  2 -8.955664e-03 -1.916361e-02
 8  3  2.191734e-02 -3.503714e-02
 8  4 -2.117687e-02  3.562156e-02
 8  5 -3.829023e-02  1.355939e-01
 8  6  5.437936e-02  4.813108e-02
 8  7 -1.870510e-02 -1.417050e-03
 8  8 -4.292006e-03  1.580227e-03
 9  0  2.937603e-03 -1.134135e-06
 9  1  4.821383e-03 -1.016811e-02
 9  2  3.356115e-03  6.765034e-03
 9  3 -1.989562e-02 -1.846563e-02
 9  4 -2.095922e-02 -3.530563e-03
 9  5  5.945305e-03  1.024260e-03
 9  6  1.978389e-02 -4.607576e-03
 9  7  6.271536e-04 -2.274082e-02
 9  8  1.018545e-02 -6.888071e-03
 9  9 -4.084939e-03 -8.593988e-03
10  0  2.241335e-03 -1.134135e-06
10  1  4.252079e-03  9.604161e-04
10  2 -2.805642e-03 -6.896977e-03
10  3 -8.681179e-03  1.375126e-02
10  4 -1.540740e-02  2.499316e-02
10  5  1.584413e-03 -4.241972e-03
10  6 -2.711653e-02 -1.781136e-02
10  7  2.025495e-02 -1.144612e-04
10  8  1.189241e-02 -4.404755e-03
10  9  1.118021e-02  5.832805e-04
10 10  1.015406e-03  5.333564e-04
11  0 -1.470869e-03 -1.134135e-06
11  1 -2.467005e-03  4.169395e-03
11  2  4.889650e-03  1.828447e-02
11  3  6.671160e-04 -3.564506e-04
11  4  3.379380e-02 -3.606172e-04
11  5  2.334060e-03 -3.909887e-03
11  6 -3.993134e-04  1.129805e-03
11  7 -7.874409e-03  1.184782e-02
11  8 -1.630614e-02  1.722186e-02
11  9  1.088364e-02  2.064355e-02
11 10  4.684420e-03 -7.511578e-04
11 11 -8.565966e-04  8.063080e-04
12  0 -8.093645e-05 -1.134135e-06
12  1  1.090448e-04  1.872439e-03
12  2  1.600821e-03  3.440981e-03
12  3 -3.420595e-03  6.271608e-03
12  4  3.904465e-03 -5.697927e-03
12  5  5.227714e-03 -2.241231e-02
12  6 -4.252559e-03 -1.832150e-03
12  7 -7.631703e-03 -4.962993e-04
12  8 -9.523731e-03  6.328008e-03
12  9 -1.820066e-02 -3.067902e-03
12 10 -5.358253e-03  4.402660e-04
12 11 -5.676333e-03 -3.822388e-04
12 12 -8.410918e-04  5.682557e-04
